Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
0,SEA-01,160.650000,-,4.600000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
1,SEA-02,160.700000,-,4.600000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
2,SEA-03,160.750000,-,4.600000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
3,SEA-04,160.800000,-,4.600000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
4,SEA-05,160.850000,-,4.600000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
5,SEA-06,156.300000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
6,SEA-07,160.950000,-,4.600000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
7,SEA-08,156.400000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
8,SEA-09,156.450000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
9,SEA-10,156.500000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
10,SEA-11,156.550000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
11,SEA-12,156.600000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
12,SEA-13,156.650000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
13,SEA-14,156.700000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
14,SEA-15,156.750000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
15,SEA-16,156.800000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
16,SEA-17,156.850000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
17,SEA-18,161.500000,-,4.600000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
18,SEA-19,161.550000,-,4.600000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
19,SEA-20,161.600000,-,4.600000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
20,SEA-21,161.650000,-,4.600000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
21,SEA-22,161.700000,-,4.600000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
22,SEA-23,161.750000,-,4.600000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
23,SEA-24,161.800000,-,4.600000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
24,SEA-25,161.850000,-,4.600000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
25,SEA-26,161.900000,-,4.600000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
26,SEA-27,161.950000,-,4.600000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
27,SEA-28,162.000000,-,4.600000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
28,SEA-60,160.625000,-,4.600000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
29,SEA-61,160.675000,-,4.600000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
30,SEA-62,160.725000,-,4.600000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
31,SEA-63,160.775000,-,4.600000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
32,SEA-64,160.825000,-,4.600000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
33,SEA-65,160.875000,-,4.600000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
34,SEA-66,160.925000,-,4.600000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
35,SEA-67,156.375000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
36,SEA-68,156.425000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
37,SEA-69,156.475000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
38,SEA-70,156.525000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
39,SEA-71,156.575000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
40,SEA-72,156.625000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
41,SEA-73,156.675000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
42,SEA-74,156.725000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
43,SEA-77,156.875000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
44,SEA-78,161.525000,-,4.600000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
45,SEA-79,161.575000,-,4.600000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
46,SEA-80,161.625000,-,4.600000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
47,SEA-81,161.675000,-,4.600000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
48,SEA-82,161.725000,-,4.600000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
49,SEA-83,161.775000,-,4.600000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
50,SEA-84,161.825000,-,4.600000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
51,SEA-85,161.875000,-,4.600000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
52,SEA-86,161.925000,-,4.600000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
53,SEA-87,161.975000,-,4.600000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
54,SEA-88,162.025000,-,4.600000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
